,open,high,low,close,volume,num_trds,value
2024-02-22 17:00:00-05:00,7.2021,7.2023,7.2018,7.2019,0,157,0.0
2024-02-22 17:01:00-05:00,7.2019,7.2021,7.2018,7.2019,0,102,0.0
2024-02-22 17:02:00-05:00,7.2019,7.2019,7.2018,7.2018,0,9,0.0
2024-02-22 17:04:00-05:00,7.2014,7.2016,7.2014,7.2016,0,10,0.0
2024-02-22 17:05:00-05:00,7.2016,7.2017,7.2014,7.2017,0,275,0.0
2024-02-22 17:06:00-05:00,7.2018,7.2021,7.2018,7.2021,0,263,0.0
2024-02-22 17:07:00-05:00,7.2021,7.2024,7.2018,7.2022,0,300,0.0
2024-02-22 17:08:00-05:00,7.2022,7.2024,7.202,7.2023,0,290,0.0
2024-02-22 17:09:00-05:00,7.2023,7.2024,7.2023,7.2024,0,281,0.0
2024-02-22 17:10:00-05:00,7.2024,7.2026,7.2024,7.2025,0,323,0.0
2024-02-22 17:11:00-05:00,7.2025,7.2026,7.2019,7.202,0,355,0.0
2024-02-22 17:12:00-05:00,7.202,7.202,7.2019,7.202,0,320,0.0
2024-02-22 17:13:00-05:00,7.202,7.2022,7.2019,7.2021,0,388,0.0
2024-02-22 17:14:00-05:00,7.2021,7.2022,7.2021,7.2021,0,471,0.0
2024-02-22 17:15:00-05:00,7.2021,7.2022,7.202,7.2021,0,311,0.0
2024-02-22 17:16:00-05:00,7.2021,7.2023,7.2021,7.2022,0,305,0.0
2024-02-22 17:17:00-05:00,7.2022,7.2022,7.202,7.2021,0,382,0.0
2024-02-22 17:18:00-05:00,7.2021,7.2021,7.202,7.202,0,311,0.0
2024-02-22 17:19:00-05:00,7.202,7.2022,7.202,7.2021,0,297,0.0
2024-02-22 17:20:00-05:00,7.2021,7.2024,7.202,7.2024,0,336,0.0
2024-02-22 17:21:00-05:00,7.2024,7.2024,7.202,7.2023,0,345,0.0
2024-02-22 17:22:00-05:00,7.2023,7.2024,7.202,7.2024,0,321,0.0
2024-02-22 17:23:00-05:00,7.2024,7.2024,7.2022,7.2024,0,311,0.0
2024-02-22 17:24:00-05:00,7.2024,7.2024,7.202,7.2023,0,315,0.0
2024-02-22 17:25:00-05:00,7.2024,7.2024,7.2021,7.2024,0,313,0.0
2024-02-22 17:26:00-05:00,7.2024,7.2024,7.202,7.2023,0,323,0.0
2024-02-22 17:27:00-05:00,7.2023,7.2024,7.2021,7.2024,0,345,0.0
2024-02-22 17:28:00-05:00,7.2024,7.2024,7.2021,7.2024,0,329,0.0
2024-02-22 17:29:00-05:00,7.2024,7.2024,7.202,7.2021,0,324,0.0
2024-02-22 17:30:00-05:00,7.2021,7.2022,7.2019,7.2021,0,494,0.0
2024-02-22 17:31:00-05:00,7.2021,7.2022,7.202,7.2021,0,440,0.0
2024-02-22 17:32:00-05:00,7.2021,7.2022,7.202,7.2021,0,509,0.0
2024-02-22 17:33:00-05:00,7.2021,7.2021,7.202,7.202,0,471,0.0
2024-02-22 17:34:00-05:00,7.202,7.2022,7.202,7.2021,0,460,0.0
2024-02-22 17:35:00-05:00,7.2021,7.2022,7.202,7.2022,0,495,0.0
2024-02-22 17:36:00-05:00,7.2022,7.2023,7.2022,7.2022,0,499,0.0
2024-02-22 17:37:00-05:00,7.2022,7.2023,7.2022,7.2022,0,510,0.0
2024-02-22 17:38:00-05:00,7.2022,7.2022,7.2022,7.2022,0,490,0.0
2024-02-22 17:39:00-05:00,7.2022,7.2023,7.2022,7.2022,0,500,0.0
2024-02-22 17:40:00-05:00,7.2022,7.2022,7.2022,7.2022,0,497,0.0
2024-02-22 17:41:00-05:00,7.2022,7.2022,7.2022,7.2022,0,494,0.0
2024-02-22 17:42:00-05:00,7.2022,7.2023,7.2022,7.2022,0,520,0.0
2024-02-22 17:43:00-05:00,7.2022,7.2023,7.2022,7.2022,0,550,0.0
2024-02-22 17:44:00-05:00,7.2022,7.2022,7.2022,7.2022,0,510,0.0
2024-02-22 17:45:00-05:00,7.2022,7.2023,7.2021,7.2022,0,553,0.0
2024-02-22 17:46:00-05:00,7.2022,7.2022,7.2021,7.2021,0,532,0.0
2024-02-22 17:47:00-05:00,7.2021,7.2023,7.2021,7.2023,0,560,0.0
2024-02-22 17:48:00-05:00,7.2023,7.2023,7.2022,7.2022,0,513,0.0
2024-02-22 17:49:00-05:00,7.2022,7.2023,7.2022,7.2022,0,498,0.0
2024-02-22 17:50:00-05:00,7.2022,7.2022,7.2022,7.2022,0,525,0.0
2024-02-22 17:51:00-05:00,7.2022,7.2023,7.2022,7.2023,0,571,0.0
2024-02-22 17:52:00-05:00,7.2023,7.2023,7.2021,7.2022,0,547,0.0
2024-02-22 17:53:00-05:00,7.2022,7.2023,7.2022,7.2022,0,570,0.0
2024-02-22 17:54:00-05:00,7.2022,7.2024,7.2022,7.2023,0,540,0.0
2024-02-22 17:55:00-05:00,7.2023,7.2024,7.2022,7.2022,0,657,0.0
2024-02-22 17:56:00-05:00,7.2022,7.2023,7.2021,7.2022,0,546,0.0
