,open,high,low,close,volume,num_trds,value
2024-04-03 17:00:00-04:00,151.7,151.7,151.65,151.65,0,383,0.0
2024-04-03 17:01:00-04:00,151.65,151.66,151.65,151.66,0,334,0.0
2024-04-03 17:02:00-04:00,151.66,151.66,151.65,151.65,0,352,0.0
2024-04-03 17:03:00-04:00,151.65,151.66,151.65,151.66,0,328,0.0
2024-04-03 17:04:00-04:00,151.66,151.66,151.65,151.66,0,336,0.0
2024-04-03 17:05:00-04:00,151.65,151.65,151.65,151.65,0,443,0.0
2024-04-03 17:06:00-04:00,151.65,151.66,151.65,151.66,0,489,0.0
2024-04-03 17:07:00-04:00,151.66,151.66,151.65,151.66,0,413,0.0
2024-04-03 17:08:00-04:00,151.65,151.66,151.65,151.65,0,426,0.0
2024-04-03 17:09:00-04:00,151.65,151.66,151.65,151.65,0,401,0.0
2024-04-03 17:10:00-04:00,151.65,151.66,151.65,151.65,0,417,0.0
2024-04-03 17:11:00-04:00,151.65,151.65,151.65,151.65,0,397,0.0
2024-04-03 17:12:00-04:00,151.65,151.66,151.65,151.65,0,397,0.0
2024-04-03 17:13:00-04:00,151.65,151.65,151.65,151.65,0,426,0.0
2024-04-03 17:14:00-04:00,151.65,151.65,151.65,151.65,0,437,0.0
2024-04-03 17:15:00-04:00,151.65,151.65,151.65,151.65,0,414,0.0
2024-04-03 17:16:00-04:00,151.65,151.65,151.65,151.65,0,426,0.0
2024-04-03 17:17:00-04:00,151.65,151.65,151.65,151.65,0,423,0.0
2024-04-03 17:18:00-04:00,151.65,151.65,151.65,151.65,0,438,0.0
2024-04-03 17:19:00-04:00,151.65,151.65,151.65,151.65,0,415,0.0
2024-04-03 17:20:00-04:00,151.65,151.66,151.65,151.65,0,446,0.0
2024-04-03 17:21:00-04:00,151.65,151.66,151.65,151.66,0,455,0.0
2024-04-03 17:22:00-04:00,151.66,151.66,151.66,151.66,0,404,0.0
2024-04-03 17:23:00-04:00,151.66,151.66,151.66,151.66,0,404,0.0
2024-04-03 17:24:00-04:00,151.66,151.66,151.66,151.66,0,409,0.0
2024-04-03 17:25:00-04:00,151.66,151.66,151.66,151.66,0,391,0.0
2024-04-03 17:26:00-04:00,151.66,151.66,151.66,151.66,0,438,0.0
2024-04-03 17:27:00-04:00,151.66,151.66,151.66,151.66,0,397,0.0
2024-04-03 17:28:00-04:00,151.66,151.66,151.66,151.66,0,394,0.0
2024-04-03 17:29:00-04:00,151.66,151.66,151.65,151.66,0,424,0.0
2024-04-03 17:30:00-04:00,151.66,151.66,151.65,151.65,0,452,0.0
