,open,high,low,close,volume,num_trds,value
2024-01-28 17:00:00-05:00,148.13,148.14,148.12,148.13,0,103,0.0
2024-01-28 17:01:00-05:00,148.13,148.16,148.13,148.16,0,71,0.0
2024-01-28 17:02:00-05:00,148.16,148.17,148.11,148.11,0,160,0.0
2024-01-28 17:03:00-05:00,148.11,148.11,148.1,148.11,0,188,0.0
2024-01-28 17:04:00-05:00,148.11,148.11,148.11,148.11,0,128,0.0
2024-01-28 17:05:00-05:00,148.11,148.11,148.1,148.1,0,222,0.0
2024-01-28 17:06:00-05:00,148.1,148.1,148.1,148.1,0,225,0.0
2024-01-28 17:07:00-05:00,148.1,148.1,148.1,148.1,0,195,0.0
2024-01-28 17:08:00-05:00,148.1,148.1,148.1,148.1,0,180,0.0
2024-01-28 17:09:00-05:00,148.1,148.12,148.1,148.11,0,256,0.0
2024-01-28 17:10:00-05:00,148.11,148.12,148.1,148.12,0,231,0.0
2024-01-28 17:11:00-05:00,148.12,148.12,148.11,148.11,0,249,0.0
2024-01-28 17:12:00-05:00,148.11,148.12,148.11,148.12,0,247,0.0
2024-01-28 17:13:00-05:00,148.12,148.12,148.11,148.12,0,264,0.0
2024-01-28 17:14:00-05:00,148.12,148.12,148.1,148.1,0,260,0.0
2024-01-28 17:15:00-05:00,148.1,148.11,148.1,148.11,0,314,0.0
2024-01-28 17:16:00-05:00,148.11,148.11,148.1,148.11,0,320,0.0
2024-01-28 17:17:00-05:00,148.11,148.11,148.11,148.11,0,315,0.0
2024-01-28 17:18:00-05:00,148.11,148.11,148.11,148.11,0,301,0.0
2024-01-28 17:19:00-05:00,148.11,148.11,148.11,148.11,0,251,0.0
2024-01-28 17:20:00-05:00,148.11,148.11,148.11,148.11,0,226,0.0
2024-01-28 17:21:00-05:00,148.11,148.11,148.11,148.11,0,244,0.0
2024-01-28 17:22:00-05:00,148.11,148.11,148.11,148.11,0,230,0.0
2024-01-28 17:23:00-05:00,148.11,148.11,148.11,148.11,0,202,0.0
2024-01-28 17:24:00-05:00,148.11,148.11,148.11,148.11,0,207,0.0
2024-01-28 17:25:00-05:00,148.11,148.11,148.11,148.11,0,218,0.0
2024-01-28 17:26:00-05:00,148.11,148.11,148.11,148.11,0,222,0.0
2024-01-28 17:27:00-05:00,148.11,148.11,148.11,148.11,0,230,0.0
2024-01-28 17:28:00-05:00,148.11,148.11,148.11,148.11,0,264,0.0
2024-01-28 17:29:00-05:00,148.11,148.11,148.11,148.11,0,235,0.0
2024-01-28 17:30:00-05:00,148.11,148.12,148.11,148.12,0,325,0.0
2024-01-28 17:31:00-05:00,148.12,148.13,148.11,148.11,0,319,0.0
2024-01-28 17:32:00-05:00,148.11,148.11,148.11,148.11,0,285,0.0
2024-01-28 17:33:00-05:00,148.11,148.11,148.11,148.11,0,260,0.0
2024-01-28 17:34:00-05:00,148.11,148.11,148.1,148.11,0,262,0.0
2024-01-28 17:35:00-05:00,148.11,148.11,148.11,148.11,0,257,0.0
2024-01-28 17:36:00-05:00,148.11,148.11,148.11,148.11,0,238,0.0
2024-01-28 17:37:00-05:00,148.11,148.11,148.11,148.11,0,238,0.0
2024-01-28 17:38:00-05:00,148.11,148.11,148.1,148.11,0,282,0.0
2024-01-28 17:39:00-05:00,148.11,148.11,148.11,148.11,0,328,0.0
2024-01-28 17:40:00-05:00,148.11,148.11,148.11,148.11,0,312,0.0
2024-01-28 17:41:00-05:00,148.11,148.11,148.11,148.11,0,300,0.0
2024-01-28 17:42:00-05:00,148.11,148.12,148.11,148.11,0,326,0.0
2024-01-28 17:43:00-05:00,148.11,148.11,148.11,148.11,0,327,0.0
2024-01-28 17:44:00-05:00,148.11,148.11,148.11,148.11,0,340,0.0
2024-01-28 17:45:00-05:00,148.11,148.12,148.11,148.12,0,487,0.0
2024-01-28 17:46:00-05:00,148.12,148.12,148.11,148.11,0,493,0.0
2024-01-28 17:47:00-05:00,148.11,148.11,148.11,148.11,0,408,0.0
2024-01-28 17:48:00-05:00,148.11,148.11,148.11,148.11,0,410,0.0
2024-01-28 17:49:00-05:00,148.11,148.11,148.11,148.11,0,425,0.0
2024-01-28 17:50:00-05:00,148.11,148.11,148.11,148.11,0,408,0.0
2024-01-28 17:51:00-05:00,148.11,148.11,148.11,148.11,0,409,0.0
2024-01-28 17:52:00-05:00,148.11,148.11,148.11,148.11,0,409,0.0
2024-01-28 17:53:00-05:00,148.11,148.12,148.11,148.11,0,407,0.0
2024-01-28 17:54:00-05:00,148.11,148.12,148.11,148.11,0,430,0.0
2024-01-28 17:55:00-05:00,148.11,148.11,148.08,148.08,0,491,0.0
2024-01-28 17:56:00-05:00,148.08,148.08,148.07,148.08,0,404,0.0
2024-01-28 17:57:00-05:00,148.08,148.09,148.08,148.09,0,416,0.0
2024-01-28 17:58:00-05:00,148.09,148.1,148.09,148.1,0,381,0.0
2024-01-28 17:59:00-05:00,148.1,148.11,148.1,148.1,0,465,0.0
2024-01-28 18:00:00-05:00,148.1,148.1,148.06,148.06,0,676,0.0
2024-01-28 18:01:00-05:00,148.06,148.07,148.06,148.06,0,503,0.0
2024-01-28 18:02:00-05:00,148.06,148.08,148.06,148.08,0,583,0.0
2024-01-28 18:03:00-05:00,148.08,148.09,148.07,148.07,0,663,0.0
2024-01-28 18:04:00-05:00,148.07,148.07,148.06,148.07,0,604,0.0
2024-01-28 18:05:00-05:00,148.07,148.09,148.07,148.09,0,548,0.0
2024-01-28 18:06:00-05:00,148.09,148.09,148.09,148.09,0,597,0.0
2024-01-28 18:07:00-05:00,148.09,148.09,148.07,148.07,0,567,0.0
