,open,high,low,close,volume,num_trds,value
2024-01-07 17:00:00-05:00,144.62,144.65,144.58,144.59,0,110,0.0
2024-01-07 17:01:00-05:00,144.59,144.6,144.58,144.59,0,77,0.0
2024-01-07 17:02:00-05:00,144.59,144.6,144.58,144.59,0,108,0.0
2024-01-07 17:03:00-05:00,144.59,144.59,144.58,144.59,0,12,0.0
2024-01-07 17:04:00-05:00,144.6,144.6,144.58,144.59,0,67,0.0
2024-01-07 17:05:00-05:00,144.59,144.59,144.55,144.57,0,399,0.0
2024-01-07 17:06:00-05:00,144.57,144.59,144.57,144.58,0,358,0.0
2024-01-07 17:07:00-05:00,144.58,144.6,144.57,144.57,0,310,0.0
2024-01-07 17:08:00-05:00,144.57,144.6,144.56,144.57,0,299,0.0
2024-01-07 17:09:00-05:00,144.57,144.6,144.56,144.6,0,288,0.0
2024-01-07 17:10:00-05:00,144.6,144.6,144.58,144.59,0,334,0.0
2024-01-07 17:11:00-05:00,144.59,144.61,144.57,144.58,0,303,0.0
2024-01-07 17:12:00-05:00,144.58,144.61,144.58,144.59,0,314,0.0
2024-01-07 17:13:00-05:00,144.59,144.6,144.59,144.6,0,331,0.0
2024-01-07 17:14:00-05:00,144.6,144.61,144.57,144.6,0,313,0.0
2024-01-07 17:15:00-05:00,144.6,144.6,144.58,144.59,0,389,0.0
2024-01-07 17:16:00-05:00,144.59,144.6,144.56,144.57,0,439,0.0
2024-01-07 17:17:00-05:00,144.57,144.57,144.56,144.57,0,352,0.0
2024-01-07 17:18:00-05:00,144.57,144.59,144.56,144.59,0,306,0.0
2024-01-07 17:19:00-05:00,144.59,144.59,144.57,144.58,0,319,0.0
2024-01-07 17:20:00-05:00,144.58,144.59,144.56,144.59,0,342,0.0
2024-01-07 17:21:00-05:00,144.59,144.6,144.58,144.59,0,316,0.0
2024-01-07 17:22:00-05:00,144.59,144.61,144.57,144.6,0,409,0.0
2024-01-07 17:23:00-05:00,144.6,144.6,144.59,144.6,0,352,0.0
2024-01-07 17:24:00-05:00,144.6,144.61,144.59,144.6,0,355,0.0
2024-01-07 17:25:00-05:00,144.6,144.62,144.59,144.62,0,422,0.0
2024-01-07 17:26:00-05:00,144.62,144.62,144.61,144.62,0,358,0.0
2024-01-07 17:27:00-05:00,144.62,144.63,144.58,144.61,0,461,0.0
2024-01-07 17:28:00-05:00,144.61,144.62,144.59,144.59,0,387,0.0
2024-01-07 17:29:00-05:00,144.59,144.59,144.58,144.59,0,391,0.0
2024-01-07 17:30:00-05:00,144.59,144.6,144.58,144.6,0,394,0.0
2024-01-07 17:31:00-05:00,144.6,144.6,144.59,144.6,0,361,0.0
2024-01-07 17:32:00-05:00,144.6,144.6,144.6,144.6,0,368,0.0
2024-01-07 17:33:00-05:00,144.6,144.6,144.6,144.6,0,381,0.0
2024-01-07 17:34:00-05:00,144.6,144.61,144.6,144.61,0,344,0.0
2024-01-07 17:35:00-05:00,144.61,144.61,144.6,144.6,0,389,0.0
2024-01-07 17:36:00-05:00,144.6,144.6,144.6,144.6,0,323,0.0
2024-01-07 17:37:00-05:00,144.6,144.6,144.59,144.59,0,352,0.0
2024-01-07 17:38:00-05:00,144.59,144.6,144.56,144.56,0,432,0.0
2024-01-07 17:39:00-05:00,144.56,144.57,144.56,144.56,0,364,0.0
2024-01-07 17:40:00-05:00,144.56,144.58,144.56,144.57,0,422,0.0
2024-01-07 17:41:00-05:00,144.57,144.58,144.57,144.57,0,361,0.0
2024-01-07 17:42:00-05:00,144.57,144.57,144.57,144.57,0,364,0.0
2024-01-07 17:43:00-05:00,144.57,144.58,144.56,144.56,0,387,0.0
2024-01-07 17:44:00-05:00,144.56,144.57,144.56,144.57,0,367,0.0
2024-01-07 17:45:00-05:00,144.57,144.57,144.56,144.57,0,339,0.0
2024-01-07 17:46:00-05:00,144.56,144.57,144.56,144.57,0,385,0.0
2024-01-07 17:47:00-05:00,144.57,144.58,144.57,144.58,0,371,0.0
2024-01-07 17:48:00-05:00,144.58,144.58,144.57,144.57,0,340,0.0
2024-01-07 17:49:00-05:00,144.57,144.58,144.57,144.57,0,337,0.0
2024-01-07 17:50:00-05:00,144.57,144.58,144.57,144.58,0,355,0.0
2024-01-07 17:51:00-05:00,144.58,144.58,144.57,144.57,0,382,0.0
2024-01-07 17:52:00-05:00,144.57,144.58,144.57,144.58,0,429,0.0
2024-01-07 17:53:00-05:00,144.58,144.58,144.57,144.58,0,345,0.0
2024-01-07 17:54:00-05:00,144.58,144.58,144.55,144.57,0,451,0.0
2024-01-07 17:55:00-05:00,144.57,144.57,144.56,144.56,0,409,0.0
2024-01-07 17:56:00-05:00,144.56,144.56,144.55,144.56,0,400,0.0
2024-01-07 17:57:00-05:00,144.56,144.56,144.55,144.55,0,389,0.0
2024-01-07 17:58:00-05:00,144.55,144.56,144.55,144.56,0,409,0.0
2024-01-07 17:59:00-05:00,144.56,144.57,144.56,144.56,0,452,0.0
2024-01-07 18:00:00-05:00,144.56,144.64,144.56,144.6,0,844,0.0
2024-01-07 18:01:00-05:00,144.6,144.66,144.6,144.64,0,627,0.0
2024-01-07 18:02:00-05:00,144.64,144.65,144.62,144.64,0,667,0.0
2024-01-07 18:03:00-05:00,144.64,144.66,144.64,144.66,0,615,0.0
2024-01-07 18:04:00-05:00,144.66,144.67,144.66,144.67,0,485,0.0
2024-01-07 18:05:00-05:00,144.67,144.67,144.66,144.66,0,466,0.0
2024-01-07 18:06:00-05:00,144.66,144.68,144.66,144.67,0,448,0.0
2024-01-07 18:07:00-05:00,144.67,144.7,144.67,144.7,0,519,0.0
2024-01-07 18:08:00-05:00,144.7,144.73,144.7,144.73,0,540,0.0
2024-01-07 18:09:00-05:00,144.73,144.73,144.7,144.7,0,488,0.0
2024-01-07 18:10:00-05:00,144.7,144.74,144.7,144.73,0,591,0.0
2024-01-07 18:11:00-05:00,144.73,144.75,144.73,144.75,0,503,0.0
2024-01-07 18:12:00-05:00,144.75,144.76,144.75,144.76,0,495,0.0
2024-01-07 18:13:00-05:00,144.76,144.79,144.76,144.78,0,589,0.0
2024-01-07 18:14:00-05:00,144.78,144.85,144.78,144.85,0,765,0.0
2024-01-07 18:15:00-05:00,144.85,144.85,144.8,144.82,0,734,0.0
2024-01-07 18:16:00-05:00,144.82,144.86,144.82,144.86,0,747,0.0
2024-01-07 18:17:00-05:00,144.86,144.87,144.86,144.86,0,569,0.0
2024-01-07 18:18:00-05:00,144.86,144.86,144.82,144.82,0,627,0.0
2024-01-07 18:19:00-05:00,144.82,144.82,144.79,144.79,0,616,0.0
2024-01-07 18:20:00-05:00,144.79,144.79,144.76,144.76,0,653,0.0
2024-01-07 18:21:00-05:00,144.76,144.83,144.76,144.83,0,716,0.0
2024-01-07 18:22:00-05:00,144.83,144.84,144.83,144.84,0,529,0.0
2024-01-07 18:23:00-05:00,144.84,144.86,144.84,144.85,0,738,0.0
2024-01-07 18:24:00-05:00,144.85,144.85,144.82,144.82,0,524,0.0
2024-01-07 18:25:00-05:00,144.82,144.82,144.81,144.81,0,489,0.0
2024-01-07 18:26:00-05:00,144.81,144.9,144.81,144.89,0,769,0.0
2024-01-07 18:27:00-05:00,144.89,144.92,144.89,144.9,0,626,0.0
2024-01-07 18:28:00-05:00,144.9,144.92,144.9,144.91,0,498,0.0
2024-01-07 18:29:00-05:00,144.91,144.92,144.91,144.91,0,532,0.0
2024-01-07 18:30:00-05:00,144.91,144.91,144.89,144.91,0,612,0.0
2024-01-07 18:31:00-05:00,144.91,144.91,144.88,144.9,0,563,0.0
2024-01-07 18:32:00-05:00,144.9,144.91,144.89,144.91,0,545,0.0
2024-01-07 18:33:00-05:00,144.91,144.91,144.88,144.89,0,609,0.0
2024-01-07 18:34:00-05:00,144.89,144.89,144.85,144.85,0,586,0.0
2024-01-07 18:35:00-05:00,144.85,144.85,144.82,144.83,0,662,0.0
2024-01-07 18:36:00-05:00,144.83,144.83,144.82,144.83,0,585,0.0
2024-01-07 18:37:00-05:00,144.83,144.86,144.83,144.85,0,599,0.0
2024-01-07 18:38:00-05:00,144.85,144.86,144.84,144.84,0,620,0.0
2024-01-07 18:39:00-05:00,144.84,144.86,144.84,144.86,0,569,0.0
2024-01-07 18:40:00-05:00,144.86,144.86,144.86,144.86,0,508,0.0
2024-01-07 18:41:00-05:00,144.86,144.86,144.84,144.84,0,539,0.0
2024-01-07 18:42:00-05:00,144.84,144.84,144.83,144.83,0,501,0.0
2024-01-07 18:43:00-05:00,144.83,144.83,144.81,144.81,0,626,0.0
2024-01-07 18:44:00-05:00,144.81,144.81,144.77,144.78,0,651,0.0
2024-01-07 18:45:00-05:00,144.78,144.8,144.78,144.79,0,546,0.0
2024-01-07 18:46:00-05:00,144.79,144.79,144.77,144.77,0,549,0.0
2024-01-07 18:47:00-05:00,144.77,144.8,144.77,144.8,0,626,0.0
2024-01-07 18:48:00-05:00,144.8,144.81,144.79,144.81,0,535,0.0
2024-01-07 18:49:00-05:00,144.81,144.81,144.8,144.81,0,509,0.0
2024-01-07 18:50:00-05:00,144.81,144.81,144.81,144.81,0,566,0.0
2024-01-07 18:51:00-05:00,144.81,144.81,144.8,144.8,0,564,0.0
2024-01-07 18:52:00-05:00,144.8,144.81,144.8,144.81,0,514,0.0
2024-01-07 18:53:00-05:00,144.81,144.84,144.8,144.82,0,560,0.0
2024-01-07 18:54:00-05:00,144.81,144.82,144.8,144.8,0,500,0.0
2024-01-07 18:55:00-05:00,144.8,144.8,144.79,144.8,0,475,0.0
2024-01-07 18:56:00-05:00,144.8,144.8,144.77,144.77,0,581,0.0
2024-01-07 18:57:00-05:00,144.77,144.77,144.73,144.74,0,608,0.0
2024-01-07 18:58:00-05:00,144.74,144.74,144.74,144.74,0,493,0.0
2024-01-07 18:59:00-05:00,144.74,144.74,144.72,144.72,0,628,0.0
2024-01-07 19:00:00-05:00,144.72,144.76,144.72,144.76,0,630,0.0
2024-01-07 19:01:00-05:00,144.76,144.78,144.74,144.78,0,619,0.0
2024-01-07 19:02:00-05:00,144.78,144.78,144.76,144.77,0,621,0.0
2024-01-07 19:03:00-05:00,144.77,144.8,144.77,144.8,0,599,0.0
2024-01-07 19:04:00-05:00,144.8,144.8,144.77,144.77,0,545,0.0
2024-01-07 19:05:00-05:00,144.77,144.77,144.76,144.76,0,548,0.0
2024-01-07 19:06:00-05:00,144.76,144.78,144.76,144.77,0,589,0.0
2024-01-07 19:07:00-05:00,144.77,144.77,144.76,144.76,0,546,0.0
2024-01-07 19:08:00-05:00,144.76,144.78,144.76,144.78,0,535,0.0
2024-01-07 19:09:00-05:00,144.78,144.78,144.77,144.78,0,510,0.0
2024-01-07 19:10:00-05:00,144.78,144.78,144.73,144.73,0,669,0.0
2024-01-07 19:11:00-05:00,144.73,144.73,144.71,144.72,0,589,0.0
2024-01-07 19:12:00-05:00,144.72,144.72,144.71,144.71,0,556,0.0
2024-01-07 19:13:00-05:00,144.71,144.72,144.71,144.71,0,553,0.0
2024-01-07 19:14:00-05:00,144.71,144.71,144.71,144.71,0,506,0.0
2024-01-07 19:15:00-05:00,144.71,144.71,144.68,144.68,0,607,0.0
2024-01-07 19:16:00-05:00,144.68,144.68,144.67,144.68,0,531,0.0
2024-01-07 19:17:00-05:00,144.68,144.68,144.67,144.67,0,562,0.0
2024-01-07 19:18:00-05:00,144.67,144.71,144.67,144.7,0,688,0.0
2024-01-07 19:19:00-05:00,144.7,144.7,144.7,144.7,0,459,0.0
2024-01-07 19:20:00-05:00,144.7,144.7,144.66,144.66,0,655,0.0
2024-01-07 19:21:00-05:00,144.66,144.69,144.66,144.69,0,613,0.0
2024-01-07 19:22:00-05:00,144.69,144.7,144.68,144.7,0,546,0.0
2024-01-07 19:23:00-05:00,144.7,144.72,144.7,144.72,0,572,0.0
2024-01-07 19:24:00-05:00,144.72,144.75,144.71,144.75,0,552,0.0
2024-01-07 19:25:00-05:00,144.75,144.75,144.71,144.71,0,561,0.0
2024-01-07 19:26:00-05:00,144.71,144.73,144.7,144.73,0,538,0.0
2024-01-07 19:27:00-05:00,144.73,144.74,144.72,144.72,0,585,0.0
2024-01-07 19:28:00-05:00,144.72,144.72,144.71,144.71,0,495,0.0
2024-01-07 19:29:00-05:00,144.71,144.71,144.68,144.69,0,535,0.0
2024-01-07 19:30:00-05:00,144.69,144.7,144.68,144.7,0,591,0.0
2024-01-07 19:31:00-05:00,144.7,144.7,144.68,144.68,0,521,0.0
2024-01-07 19:32:00-05:00,144.68,144.7,144.68,144.69,0,530,0.0
2024-01-07 19:33:00-05:00,144.7,144.7,144.68,144.68,0,575,0.0
2024-01-07 19:34:00-05:00,144.68,144.68,144.67,144.67,0,566,0.0
2024-01-07 19:35:00-05:00,144.67,144.68,144.67,144.67,0,504,0.0
2024-01-07 19:36:00-05:00,144.67,144.67,144.65,144.67,0,586,0.0
2024-01-07 19:37:00-05:00,144.67,144.68,144.67,144.68,0,525,0.0
2024-01-07 19:38:00-05:00,144.68,144.69,144.67,144.69,0,552,0.0
2024-01-07 19:39:00-05:00,144.69,144.69,144.69,144.69,0,511,0.0
2024-01-07 19:40:00-05:00,144.69,144.7,144.69,144.69,0,520,0.0
