,open,high,low,close,volume,num_trds,value
2024-01-04 17:00:00-05:00,1.0945,1.0948,1.0945,1.0948,0,247,0.0
2024-01-04 17:01:00-05:00,1.0948,1.0948,1.0947,1.0947,0,168,0.0
2024-01-04 17:02:00-05:00,1.0947,1.0948,1.0947,1.0948,0,178,0.0
2024-01-04 17:03:00-05:00,1.0948,1.0948,1.0947,1.0947,0,165,0.0
2024-01-04 17:04:00-05:00,1.0947,1.0949,1.0947,1.0947,0,179,0.0
2024-01-04 17:05:00-05:00,1.0947,1.095,1.0947,1.0947,0,508,0.0
2024-01-04 17:06:00-05:00,1.0947,1.0947,1.0945,1.0947,0,483,0.0
2024-01-04 17:07:00-05:00,1.0947,1.0949,1.0946,1.0949,0,555,0.0
2024-01-04 17:08:00-05:00,1.0949,1.0949,1.0948,1.0948,0,614,0.0
2024-01-04 17:09:00-05:00,1.0948,1.0948,1.0948,1.0948,0,378,0.0
2024-01-04 17:10:00-05:00,1.0948,1.0949,1.0948,1.0948,0,367,0.0
2024-01-04 17:11:00-05:00,1.0948,1.0948,1.0948,1.0948,0,391,0.0
2024-01-04 17:12:00-05:00,1.0948,1.0948,1.0947,1.0947,0,429,0.0
2024-01-04 17:13:00-05:00,1.0947,1.095,1.0947,1.0948,0,503,0.0
2024-01-04 17:14:00-05:00,1.0948,1.0948,1.0948,1.0948,0,402,0.0
2024-01-04 17:15:00-05:00,1.0948,1.0949,1.0948,1.0948,0,410,0.0
2024-01-04 17:16:00-05:00,1.0948,1.095,1.0948,1.095,0,552,0.0
2024-01-04 17:17:00-05:00,1.095,1.095,1.0949,1.095,0,558,0.0
2024-01-04 17:18:00-05:00,1.095,1.0951,1.0947,1.0947,0,649,0.0
2024-01-04 17:19:00-05:00,1.0947,1.0947,1.0947,1.0947,0,460,0.0
2024-01-04 17:20:00-05:00,1.0947,1.0947,1.0947,1.0947,0,469,0.0
2024-01-04 17:21:00-05:00,1.0947,1.0947,1.0947,1.0947,0,386,0.0
2024-01-04 17:22:00-05:00,1.0947,1.0947,1.0947,1.0947,0,363,0.0
2024-01-04 17:23:00-05:00,1.0947,1.0948,1.0947,1.0947,0,408,0.0
2024-01-04 17:24:00-05:00,1.0947,1.0948,1.0947,1.0947,0,470,0.0
2024-01-04 17:25:00-05:00,1.0947,1.0947,1.0946,1.0946,0,532,0.0
2024-01-04 17:26:00-05:00,1.0946,1.0951,1.0946,1.0951,0,575,0.0
2024-01-04 17:27:00-05:00,1.0951,1.0951,1.0947,1.0947,0,583,0.0
2024-01-04 17:28:00-05:00,1.0947,1.0947,1.0946,1.0946,0,466,0.0
2024-01-04 17:29:00-05:00,1.0946,1.0948,1.0946,1.0948,0,475,0.0
2024-01-04 17:30:00-05:00,1.0948,1.0948,1.0947,1.0947,0,517,0.0
2024-01-04 17:31:00-05:00,1.0947,1.0948,1.0947,1.0947,0,496,0.0
2024-01-04 17:32:00-05:00,1.0947,1.0948,1.0947,1.0947,0,461,0.0
2024-01-04 17:33:00-05:00,1.0947,1.0948,1.0947,1.0947,0,594,0.0
2024-01-04 17:34:00-05:00,1.0947,1.0948,1.0947,1.0948,0,553,0.0
2024-01-04 17:35:00-05:00,1.0948,1.0948,1.0948,1.0948,0,549,0.0
2024-01-04 17:36:00-05:00,1.0948,1.0949,1.0948,1.0948,0,565,0.0
2024-01-04 17:37:00-05:00,1.0948,1.0949,1.0948,1.0948,0,532,0.0
2024-01-04 17:38:00-05:00,1.0948,1.0949,1.0948,1.0949,0,605,0.0
2024-01-04 17:39:00-05:00,1.0949,1.095,1.0948,1.095,0,589,0.0
2024-01-04 17:40:00-05:00,1.095,1.095,1.0949,1.0949,0,560,0.0
2024-01-04 17:41:00-05:00,1.0949,1.095,1.0949,1.0949,0,601,0.0
2024-01-04 17:42:00-05:00,1.0949,1.0951,1.0949,1.095,0,668,0.0
2024-01-04 17:43:00-05:00,1.095,1.0951,1.0949,1.095,0,549,0.0
2024-01-04 17:44:00-05:00,1.095,1.0951,1.0949,1.095,0,630,0.0
2024-01-04 17:45:00-05:00,1.095,1.095,1.0949,1.0949,0,562,0.0
2024-01-04 17:46:00-05:00,1.0949,1.0949,1.0948,1.0948,0,578,0.0
2024-01-04 17:47:00-05:00,1.0948,1.0948,1.0948,1.0948,0,526,0.0
2024-01-04 17:48:00-05:00,1.0948,1.0948,1.0948,1.0948,0,534,0.0
2024-01-04 17:49:00-05:00,1.0948,1.0948,1.0948,1.0948,0,543,0.0
2024-01-04 17:50:00-05:00,1.0948,1.0949,1.0947,1.0949,0,639,0.0
2024-01-04 17:51:00-05:00,1.0949,1.095,1.0947,1.0949,0,630,0.0
2024-01-04 17:52:00-05:00,1.0949,1.095,1.0949,1.095,0,621,0.0
2024-01-04 17:53:00-05:00,1.095,1.095,1.0948,1.0948,0,685,0.0
2024-01-04 17:54:00-05:00,1.0948,1.0948,1.0948,1.0948,0,566,0.0
2024-01-04 17:55:00-05:00,1.0948,1.0949,1.0947,1.0947,0,694,0.0
2024-01-04 17:56:00-05:00,1.0947,1.0948,1.0947,1.0947,0,685,0.0
2024-01-04 17:57:00-05:00,1.0947,1.0947,1.0947,1.0947,0,619,0.0
2024-01-04 17:58:00-05:00,1.0947,1.0947,1.0947,1.0947,0,692,0.0
2024-01-04 17:59:00-05:00,1.0947,1.0948,1.0947,1.0947,0,609,0.0
2024-01-04 18:00:00-05:00,1.0947,1.0949,1.0946,1.0949,0,703,0.0
2024-01-04 18:01:00-05:00,1.0949,1.0949,1.0947,1.0947,0,547,0.0
2024-01-04 18:02:00-05:00,1.0947,1.0947,1.0947,1.0947,0,536,0.0
2024-01-04 18:03:00-05:00,1.0947,1.0947,1.0946,1.0946,0,490,0.0
2024-01-04 18:04:00-05:00,1.0946,1.0946,1.0946,1.0946,0,443,0.0
2024-01-04 18:05:00-05:00,1.0946,1.0947,1.0946,1.0947,0,514,0.0
2024-01-04 18:06:00-05:00,1.0947,1.0947,1.0947,1.0947,0,446,0.0
2024-01-04 18:07:00-05:00,1.0947,1.0947,1.0947,1.0947,0,431,0.0
2024-01-04 18:08:00-05:00,1.0947,1.0947,1.0947,1.0947,0,491,0.0
2024-01-04 18:09:00-05:00,1.0947,1.0947,1.0947,1.0947,0,470,0.0
2024-01-04 18:10:00-05:00,1.0947,1.0948,1.0947,1.0947,0,498,0.0
2024-01-04 18:11:00-05:00,1.0947,1.0947,1.0947,1.0947,0,461,0.0
2024-01-04 18:12:00-05:00,1.0947,1.0947,1.0947,1.0947,0,382,0.0
2024-01-04 18:13:00-05:00,1.0947,1.0947,1.0947,1.0947,0,523,0.0
2024-01-04 18:14:00-05:00,1.0947,1.0947,1.0946,1.0946,0,501,0.0
2024-01-04 18:15:00-05:00,1.0946,1.0947,1.0946,1.0946,0,517,0.0
2024-01-04 18:16:00-05:00,1.0946,1.0947,1.0946,1.0947,0,495,0.0
2024-01-04 18:17:00-05:00,1.0947,1.0947,1.0946,1.0946,0,462,0.0
2024-01-04 18:18:00-05:00,1.0946,1.0946,1.0946,1.0946,0,477,0.0
2024-01-04 18:19:00-05:00,1.0946,1.0946,1.0946,1.0946,0,504,0.0
2024-01-04 18:20:00-05:00,1.0946,1.0946,1.0945,1.0946,0,552,0.0
2024-01-04 18:21:00-05:00,1.0946,1.0946,1.0946,1.0946,0,519,0.0
2024-01-04 18:22:00-05:00,1.0946,1.0946,1.0945,1.0945,0,506,0.0
2024-01-04 18:23:00-05:00,1.0945,1.0945,1.0945,1.0945,0,498,0.0
2024-01-04 18:24:00-05:00,1.0945,1.0945,1.0945,1.0945,0,453,0.0
2024-01-04 18:25:00-05:00,1.0945,1.0945,1.0945,1.0945,0,467,0.0
2024-01-04 18:26:00-05:00,1.0945,1.0945,1.0945,1.0945,0,531,0.0
2024-01-04 18:27:00-05:00,1.0945,1.0945,1.0944,1.0944,0,564,0.0
2024-01-04 18:28:00-05:00,1.0944,1.0944,1.0944,1.0944,0,514,0.0
2024-01-04 18:29:00-05:00,1.0944,1.0944,1.0944,1.0944,0,503,0.0
2024-01-04 18:30:00-05:00,1.0944,1.0944,1.0944,1.0944,0,469,0.0
2024-01-04 18:31:00-05:00,1.0944,1.0944,1.0943,1.0944,0,513,0.0
2024-01-04 18:32:00-05:00,1.0944,1.0945,1.0944,1.0945,0,558,0.0
2024-01-04 18:33:00-05:00,1.0945,1.0945,1.0945,1.0945,0,483,0.0
2024-01-04 18:34:00-05:00,1.0945,1.0945,1.0945,1.0945,0,493,0.0
2024-01-04 18:35:00-05:00,1.0945,1.0946,1.0945,1.0946,0,534,0.0
2024-01-04 18:36:00-05:00,1.0946,1.0946,1.0946,1.0946,0,474,0.0
2024-01-04 18:37:00-05:00,1.0946,1.0946,1.0946,1.0946,0,488,0.0
2024-01-04 18:38:00-05:00,1.0946,1.0946,1.0946,1.0946,0,435,0.0
2024-01-04 18:39:00-05:00,1.0946,1.0946,1.0946,1.0946,0,515,0.0
2024-01-04 18:40:00-05:00,1.0946,1.0946,1.0946,1.0946,0,491,0.0
2024-01-04 18:41:00-05:00,1.0946,1.0946,1.0946,1.0946,0,484,0.0
2024-01-04 18:42:00-05:00,1.0946,1.0946,1.0946,1.0946,0,535,0.0
