,open,high,low,close,volume,num_trds,value
2024-04-24 17:00:00-04:00,1.0699,1.0699,1.0695,1.0697,0,495,0.0
2024-04-24 17:01:00-04:00,1.0697,1.0697,1.0695,1.0695,0,492,0.0
2024-04-24 17:02:00-04:00,1.0696,1.0697,1.0695,1.0697,0,529,0.0
2024-04-24 17:03:00-04:00,1.0697,1.0699,1.0697,1.0698,0,486,0.0
2024-04-24 17:04:00-04:00,1.0698,1.0699,1.0696,1.0697,0,466,0.0
2024-04-24 17:05:00-04:00,1.0697,1.0698,1.0697,1.0697,0,413,0.0
2024-04-24 17:06:00-04:00,1.0697,1.0697,1.0697,1.0697,0,386,0.0
2024-04-24 17:07:00-04:00,1.0697,1.0698,1.0697,1.0697,0,433,0.0
2024-04-24 17:08:00-04:00,1.0697,1.0697,1.0697,1.0697,0,459,0.0
2024-04-24 17:09:00-04:00,1.0697,1.0698,1.0697,1.0697,0,467,0.0
2024-04-24 17:10:00-04:00,1.0697,1.0698,1.0697,1.0697,0,523,0.0
2024-04-24 17:11:00-04:00,1.0697,1.0697,1.0697,1.0697,0,439,0.0
2024-04-24 17:12:00-04:00,1.0697,1.0698,1.0697,1.0697,0,433,0.0
2024-04-24 17:13:00-04:00,1.0697,1.0697,1.0697,1.0697,0,421,0.0
2024-04-24 17:14:00-04:00,1.0697,1.0697,1.0697,1.0697,0,380,0.0
2024-04-24 17:15:00-04:00,1.0697,1.0697,1.0697,1.0697,0,434,0.0
2024-04-24 17:16:00-04:00,1.0697,1.0698,1.0697,1.0697,0,496,0.0
2024-04-24 17:17:00-04:00,1.0697,1.0697,1.0697,1.0697,0,488,0.0
2024-04-24 17:18:00-04:00,1.0697,1.0697,1.0697,1.0697,0,494,0.0
2024-04-24 17:19:00-04:00,1.0697,1.0698,1.0697,1.0697,0,490,0.0
2024-04-24 17:20:00-04:00,1.0697,1.0697,1.0697,1.0697,0,442,0.0
2024-04-24 17:21:00-04:00,1.0697,1.0697,1.0697,1.0697,0,411,0.0
2024-04-24 17:22:00-04:00,1.0697,1.0697,1.0697,1.0697,0,423,0.0
2024-04-24 17:23:00-04:00,1.0697,1.0698,1.0697,1.0697,0,440,0.0
2024-04-24 17:24:00-04:00,1.0697,1.0697,1.0697,1.0697,0,450,0.0
2024-04-24 17:25:00-04:00,1.0697,1.0698,1.0697,1.0697,0,483,0.0
2024-04-24 17:26:00-04:00,1.0697,1.0698,1.0697,1.0697,0,482,0.0
2024-04-24 17:27:00-04:00,1.0697,1.0698,1.0697,1.0697,0,500,0.0
2024-04-24 17:28:00-04:00,1.0697,1.0698,1.0697,1.0698,0,482,0.0
2024-04-24 17:29:00-04:00,1.0698,1.0698,1.0697,1.0697,0,505,0.0
2024-04-24 17:30:00-04:00,1.0697,1.0698,1.0697,1.0697,0,464,0.0
2024-04-24 17:31:00-04:00,1.0697,1.0698,1.0697,1.0697,0,524,0.0
2024-04-24 17:32:00-04:00,1.0697,1.0698,1.0697,1.0697,0,461,0.0
2024-04-24 17:33:00-04:00,1.0697,1.0698,1.0697,1.0697,0,477,0.0
2024-04-24 17:34:00-04:00,1.0697,1.0698,1.0697,1.0697,0,433,0.0
2024-04-24 17:35:00-04:00,1.0697,1.0698,1.0697,1.0698,0,443,0.0
2024-04-24 17:36:00-04:00,1.0698,1.0698,1.0698,1.0698,0,488,0.0
2024-04-24 17:37:00-04:00,1.0698,1.0698,1.0698,1.0698,0,458,0.0
2024-04-24 17:38:00-04:00,1.0698,1.0698,1.0698,1.0698,0,460,0.0
2024-04-24 17:39:00-04:00,1.0698,1.0698,1.0698,1.0698,0,499,0.0
2024-04-24 17:40:00-04:00,1.0698,1.0698,1.0697,1.0698,0,481,0.0
2024-04-24 17:41:00-04:00,1.0698,1.0698,1.0698,1.0698,0,499,0.0
2024-04-24 17:42:00-04:00,1.0698,1.0698,1.0698,1.0698,0,501,0.0
2024-04-24 17:43:00-04:00,1.0698,1.0698,1.0698,1.0698,0,497,0.0
2024-04-24 17:44:00-04:00,1.0698,1.0698,1.0698,1.0698,0,483,0.0
2024-04-24 17:45:00-04:00,1.0698,1.0698,1.0698,1.0698,0,523,0.0
2024-04-24 17:46:00-04:00,1.0698,1.0698,1.0697,1.0698,0,542,0.0
2024-04-24 17:47:00-04:00,1.0698,1.0698,1.0698,1.0698,0,462,0.0
2024-04-24 17:48:00-04:00,1.0698,1.0698,1.0698,1.0698,0,503,0.0
2024-04-24 17:49:00-04:00,1.0698,1.0698,1.0697,1.0697,0,530,0.0
2024-04-24 17:50:00-04:00,1.0697,1.0697,1.0697,1.0697,0,588,0.0
2024-04-24 17:51:00-04:00,1.0697,1.0697,1.0697,1.0697,0,530,0.0
2024-04-24 17:52:00-04:00,1.0697,1.0698,1.0697,1.0698,0,560,0.0
2024-04-24 17:53:00-04:00,1.0698,1.0698,1.0698,1.0698,0,481,0.0
2024-04-24 17:54:00-04:00,1.0698,1.0698,1.0697,1.0698,0,582,0.0
2024-04-24 17:55:00-04:00,1.0698,1.0698,1.0698,1.0698,0,573,0.0
2024-04-24 17:56:00-04:00,1.0698,1.0698,1.0697,1.0698,0,624,0.0
2024-04-24 17:57:00-04:00,1.0698,1.0698,1.0698,1.0698,0,516,0.0
2024-04-24 17:58:00-04:00,1.0698,1.0698,1.0698,1.0698,0,538,0.0
2024-04-24 17:59:00-04:00,1.0698,1.0699,1.0698,1.0699,0,616,0.0
2024-04-24 18:00:00-04:00,1.0699,1.0701,1.0698,1.0698,0,926,0.0
2024-04-24 18:01:00-04:00,1.0698,1.0698,1.0698,1.0698,0,587,0.0
2024-04-24 18:02:00-04:00,1.0698,1.0698,1.0697,1.0698,0,601,0.0
2024-04-24 18:03:00-04:00,1.0698,1.0698,1.0697,1.0697,0,531,0.0
2024-04-24 18:04:00-04:00,1.0697,1.0698,1.0697,1.0697,0,569,0.0
2024-04-24 18:05:00-04:00,1.0697,1.0697,1.0697,1.0697,0,488,0.0
2024-04-24 18:06:00-04:00,1.0697,1.0697,1.0697,1.0697,0,495,0.0
2024-04-24 18:07:00-04:00,1.0697,1.0697,1.0696,1.0696,0,553,0.0
2024-04-24 18:08:00-04:00,1.0696,1.0696,1.0695,1.0695,0,531,0.0
2024-04-24 18:09:00-04:00,1.0695,1.0695,1.0694,1.0694,0,510,0.0
2024-04-24 18:10:00-04:00,1.0694,1.0695,1.0694,1.0695,0,497,0.0
2024-04-24 18:11:00-04:00,1.0695,1.0695,1.0695,1.0695,0,534,0.0
2024-04-24 18:12:00-04:00,1.0695,1.0695,1.0695,1.0695,0,536,0.0
2024-04-24 18:13:00-04:00,1.0695,1.0695,1.0695,1.0695,0,529,0.0
2024-04-24 18:14:00-04:00,1.0695,1.0696,1.0695,1.0696,0,501,0.0
2024-04-24 18:15:00-04:00,1.0696,1.0696,1.0696,1.0696,0,489,0.0
2024-04-24 18:16:00-04:00,1.0696,1.0696,1.0696,1.0696,0,477,0.0
2024-04-24 18:17:00-04:00,1.0696,1.0696,1.0696,1.0696,0,489,0.0
2024-04-24 18:18:00-04:00,1.0696,1.0696,1.0696,1.0696,0,528,0.0
2024-04-24 18:19:00-04:00,1.0696,1.0697,1.0696,1.0697,0,562,0.0
2024-04-24 18:20:00-04:00,1.0697,1.0697,1.0696,1.0697,0,497,0.0
2024-04-24 18:21:00-04:00,1.0697,1.0697,1.0696,1.0697,0,485,0.0
2024-04-24 18:22:00-04:00,1.0697,1.0697,1.0696,1.0697,0,488,0.0
2024-04-24 18:23:00-04:00,1.0697,1.0697,1.0697,1.0697,0,467,0.0
2024-04-24 18:24:00-04:00,1.0697,1.0697,1.0697,1.0697,0,480,0.0
2024-04-24 18:25:00-04:00,1.0697,1.0697,1.0697,1.0697,0,549,0.0
2024-04-24 18:26:00-04:00,1.0697,1.0697,1.0697,1.0697,0,500,0.0
2024-04-24 18:27:00-04:00,1.0697,1.0697,1.0697,1.0697,0,500,0.0
2024-04-24 18:28:00-04:00,1.0697,1.0697,1.0697,1.0697,0,513,0.0
2024-04-24 18:29:00-04:00,1.0697,1.0697,1.0697,1.0697,0,545,0.0
2024-04-24 18:30:00-04:00,1.0697,1.0697,1.0697,1.0697,0,547,0.0
2024-04-24 18:31:00-04:00,1.0697,1.0697,1.0697,1.0697,0,525,0.0
2024-04-24 18:32:00-04:00,1.0697,1.0697,1.0697,1.0697,0,527,0.0
2024-04-24 18:33:00-04:00,1.0697,1.0697,1.0697,1.0697,0,515,0.0
2024-04-24 18:34:00-04:00,1.0697,1.0697,1.0697,1.0697,0,530,0.0
2024-04-24 18:35:00-04:00,1.0697,1.0697,1.0697,1.0697,0,529,0.0
2024-04-24 18:36:00-04:00,1.0697,1.0697,1.0697,1.0697,0,532,0.0
2024-04-24 18:37:00-04:00,1.0697,1.0697,1.0697,1.0697,0,522,0.0
2024-04-24 18:38:00-04:00,1.0697,1.0697,1.0697,1.0697,0,503,0.0
2024-04-24 18:39:00-04:00,1.0697,1.0697,1.0696,1.0697,0,537,0.0
2024-04-24 18:40:00-04:00,1.0697,1.0697,1.0697,1.0697,0,531,0.0
2024-04-24 18:41:00-04:00,1.0697,1.0697,1.0697,1.0697,0,516,0.0
2024-04-24 18:42:00-04:00,1.0697,1.0697,1.0697,1.0697,0,525,0.0
2024-04-24 18:43:00-04:00,1.0697,1.0697,1.0697,1.0697,0,524,0.0
2024-04-24 18:44:00-04:00,1.0697,1.0697,1.0696,1.0696,0,513,0.0
2024-04-24 18:45:00-04:00,1.0696,1.0697,1.0696,1.0697,0,514,0.0
2024-04-24 18:46:00-04:00,1.0697,1.0697,1.0697,1.0697,0,495,0.0
2024-04-24 18:47:00-04:00,1.0697,1.0697,1.0697,1.0697,0,499,0.0
2024-04-24 18:48:00-04:00,1.0697,1.0697,1.0697,1.0697,0,527,0.0
2024-04-24 18:49:00-04:00,1.0697,1.0697,1.0697,1.0697,0,522,0.0
2024-04-24 18:50:00-04:00,1.0697,1.0698,1.0697,1.0697,0,505,0.0
2024-04-24 18:51:00-04:00,1.0697,1.0697,1.0697,1.0697,0,480,0.0
2024-04-24 18:52:00-04:00,1.0697,1.0697,1.0697,1.0697,0,503,0.0
2024-04-24 18:53:00-04:00,1.0697,1.0697,1.0697,1.0697,0,477,0.0
2024-04-24 18:54:00-04:00,1.0697,1.0697,1.0697,1.0697,0,559,0.0
2024-04-24 18:55:00-04:00,1.0697,1.0697,1.0697,1.0697,0,533,0.0
2024-04-24 18:56:00-04:00,1.0697,1.0697,1.0697,1.0697,0,511,0.0
2024-04-24 18:57:00-04:00,1.0697,1.0697,1.0697,1.0697,0,491,0.0
2024-04-24 18:58:00-04:00,1.0697,1.0697,1.0697,1.0697,0,534,0.0
2024-04-24 18:59:00-04:00,1.0697,1.0698,1.0697,1.0697,0,501,0.0
2024-04-24 19:00:00-04:00,1.0697,1.0698,1.0697,1.0698,0,535,0.0
2024-04-24 19:01:00-04:00,1.0698,1.0698,1.0698,1.0698,0,509,0.0
2024-04-24 19:02:00-04:00,1.0698,1.0698,1.0698,1.0698,0,484,0.0
2024-04-24 19:03:00-04:00,1.0698,1.0698,1.0698,1.0698,0,518,0.0
2024-04-24 19:04:00-04:00,1.0698,1.0698,1.0697,1.0697,0,531,0.0
2024-04-24 19:05:00-04:00,1.0697,1.0697,1.0697,1.0697,0,508,0.0
2024-04-24 19:06:00-04:00,1.0697,1.0697,1.0697,1.0697,0,496,0.0
2024-04-24 19:07:00-04:00,1.0697,1.0697,1.0697,1.0697,0,505,0.0
2024-04-24 19:08:00-04:00,1.0697,1.0697,1.0697,1.0697,0,538,0.0
2024-04-24 19:09:00-04:00,1.0697,1.0697,1.0697,1.0697,0,526,0.0
2024-04-24 19:10:00-04:00,1.0697,1.0697,1.0697,1.0697,0,546,0.0
2024-04-24 19:11:00-04:00,1.0697,1.0698,1.0697,1.0697,0,528,0.0
2024-04-24 19:12:00-04:00,1.0697,1.0697,1.0697,1.0697,0,519,0.0
2024-04-24 19:13:00-04:00,1.0697,1.0698,1.0697,1.0698,0,512,0.0
2024-04-24 19:14:00-04:00,1.0698,1.0698,1.0697,1.0697,0,518,0.0
2024-04-24 19:15:00-04:00,1.0697,1.0697,1.0697,1.0697,0,505,0.0
2024-04-24 19:16:00-04:00,1.0697,1.0697,1.0697,1.0697,0,501,0.0
2024-04-24 19:17:00-04:00,1.0697,1.0697,1.0697,1.0697,0,531,0.0
2024-04-24 19:18:00-04:00,1.0697,1.0697,1.0697,1.0697,0,495,0.0
2024-04-24 19:19:00-04:00,1.0697,1.0697,1.0697,1.0697,0,526,0.0
2024-04-24 19:20:00-04:00,1.0697,1.0697,1.0697,1.0697,0,516,0.0
2024-04-24 19:21:00-04:00,1.0697,1.0697,1.0697,1.0697,0,537,0.0
2024-04-24 19:22:00-04:00,1.0697,1.0697,1.0697,1.0697,0,585,0.0
2024-04-24 19:23:00-04:00,1.0697,1.0697,1.0697,1.0697,0,539,0.0
2024-04-24 19:24:00-04:00,1.0697,1.0697,1.0697,1.0697,0,506,0.0
2024-04-24 19:25:00-04:00,1.0697,1.0697,1.0697,1.0697,0,545,0.0
2024-04-24 19:26:00-04:00,1.0697,1.0697,1.0697,1.0697,0,486,0.0
2024-04-24 19:27:00-04:00,1.0697,1.0697,1.0697,1.0697,0,521,0.0
2024-04-24 19:28:00-04:00,1.0697,1.0697,1.0697,1.0697,0,526,0.0
2024-04-24 19:29:00-04:00,1.0697,1.0697,1.0697,1.0697,0,545,0.0
2024-04-24 19:30:00-04:00,1.0697,1.0698,1.0697,1.0697,0,525,0.0
2024-04-24 19:31:00-04:00,1.0697,1.0698,1.0697,1.0698,0,516,0.0
2024-04-24 19:32:00-04:00,1.0698,1.0698,1.0697,1.0698,0,540,0.0
2024-04-24 19:33:00-04:00,1.0698,1.0698,1.0698,1.0698,0,574,0.0
2024-04-24 19:34:00-04:00,1.0698,1.0698,1.0697,1.0697,0,556,0.0
2024-04-24 19:35:00-04:00,1.0697,1.0698,1.0697,1.0698,0,524,0.0
2024-04-24 19:36:00-04:00,1.0698,1.0698,1.0698,1.0698,0,556,0.0
2024-04-24 19:37:00-04:00,1.0698,1.0698,1.0698,1.0698,0,504,0.0
2024-04-24 19:38:00-04:00,1.0698,1.0698,1.0698,1.0698,0,533,0.0
2024-04-24 19:39:00-04:00,1.0698,1.0698,1.0698,1.0698,0,532,0.0
2024-04-24 19:40:00-04:00,1.0698,1.0698,1.0698,1.0698,0,533,0.0
2024-04-24 19:41:00-04:00,1.0698,1.0698,1.0698,1.0698,0,507,0.0
2024-04-24 19:42:00-04:00,1.0698,1.0698,1.0698,1.0698,0,476,0.0
2024-04-24 19:43:00-04:00,1.0698,1.0698,1.0698,1.0698,0,509,0.0
2024-04-24 19:44:00-04:00,1.0698,1.0698,1.0698,1.0698,0,566,0.0
2024-04-24 19:45:00-04:00,1.0698,1.0698,1.0698,1.0698,0,517,0.0
2024-04-24 19:46:00-04:00,1.0698,1.0698,1.0698,1.0698,0,521,0.0
2024-04-24 19:47:00-04:00,1.0698,1.0698,1.0698,1.0698,0,534,0.0
2024-04-24 19:48:00-04:00,1.0698,1.0698,1.0698,1.0698,0,478,0.0
2024-04-24 19:49:00-04:00,1.0698,1.0698,1.0698,1.0698,0,524,0.0
2024-04-24 19:50:00-04:00,1.0698,1.0699,1.0698,1.0698,0,549,0.0
2024-04-24 19:51:00-04:00,1.0698,1.0698,1.0698,1.0698,0,527,0.0
2024-04-24 19:52:00-04:00,1.0698,1.0698,1.0698,1.0698,0,593,0.0
2024-04-24 19:53:00-04:00,1.0698,1.0699,1.0698,1.0699,0,549,0.0
2024-04-24 19:54:00-04:00,1.0699,1.0699,1.0698,1.0699,0,545,0.0
2024-04-24 19:55:00-04:00,1.0699,1.0699,1.0699,1.0699,0,521,0.0
2024-04-24 19:56:00-04:00,1.0699,1.0699,1.0699,1.0699,0,498,0.0
2024-04-24 19:57:00-04:00,1.0699,1.07,1.0699,1.0699,0,549,0.0
2024-04-24 19:58:00-04:00,1.0699,1.07,1.0699,1.0699,0,583,0.0
2024-04-24 19:59:00-04:00,1.0699,1.07,1.0699,1.07,0,611,0.0
2024-04-24 20:00:00-04:00,1.07,1.0701,1.07,1.0701,0,630,0.0
2024-04-24 20:01:00-04:00,1.0701,1.0701,1.07,1.07,0,624,0.0
2024-04-24 20:02:00-04:00,1.07,1.0702,1.07,1.0702,0,635,0.0
2024-04-24 20:03:00-04:00,1.0702,1.0703,1.0702,1.0702,0,595,0.0
2024-04-24 20:04:00-04:00,1.0702,1.0703,1.0702,1.0703,0,587,0.0
2024-04-24 20:05:00-04:00,1.0703,1.0704,1.0703,1.0704,0,661,0.0
2024-04-24 20:06:00-04:00,1.0704,1.0704,1.0703,1.0703,0,598,0.0
2024-04-24 20:07:00-04:00,1.0703,1.0704,1.0703,1.0703,0,600,0.0
