title,updateTimestamp,content,relatedStocks,relatedInfos,date,trade_date
音频 | 格隆汇5.6盘前要点—港A美股你需要关注的大事都在这,2024-05-06 06:51:58,"格隆汇5月6日｜国际要闻：
1、本周大事提醒；
2、非农日美股三大指数齐涨 苹果单日市值增加约1600亿美元；
3、WTI原油期货上周累跌超6.8%；
4、美国4月非农就业人数增加17.5万 远低于预期；
5、美国4月失业率意外升至3.9%；
6、日元上周累涨4%；
7、可可期货上周累跌近30%；
8、可可豆价格创新高 达每吨11000美元；
9、俄罗斯政府暂时禁止食糖出口；
10、伯克希尔哈撒韦Q1营收、净利均超预期，现金储备创纪录新高；
11、伯克希尔哈撒韦：约75%股权投资公允价值集中于5家公司；
12、巴菲特：即便明天就走也无所后悔 请找到热爱之事善良地活着；
13、2024年巴菲特股东大会问答要点一览；
14、巴菲特回应后续是否会投资中国股票：对美国以外的市场仍不熟，未必会投资；
15、古巴宣布对持普通护照中国公民实施入境免签；
16、以官员称美国暂停向以色列运送美制弹药；
大中华区要闻：
1、央行买国债将近？业内人士：四季度或是第一个观察窗口；
2、本周A股解禁超660亿元
3、五一假日港股2日累涨4%，离岸人民币狂拉700点；
4、香港二手楼价指数两连升中断 按周跌0.28%；
5、香港3月零售额跌7% 远逊预期；
6、香港4月份住宅楼宇成交环比升逾一倍；
7、港元半年定存利率最高4.2厘 渣打罕见带头狠削短存息；
8、50家上市房企存货总量持续下降，仅4家明确2024年销售目标；
9、五一出境游大爆发 中国游客遍布全球1035个城市；
10、五一金价大跌，重返“5字头”；
11、极氪递交红鲱鱼招股书：发行区间价18-21美元/ADS；
12、鸿海4月销售额增长19% 发出积极信号；
13、本周再度双“零”：零新股申购，零新股上市；
14、中金：乐观情形下港股还有约20%的上涨空间。",JPY,,2024-05-05 22:51:58,20240506
,2024-05-06 08:00:11,格隆汇5月6日｜美元兑日元USD/JPY日内涨幅达0.50%，现报153.63。,JPY,,2024-05-06 00:00:11,20240506
